Site	Area	Croprows	Brassicarows	Date	Datelet	Datenum	Sentinel	Type1	Typea	Total	Parasitoidfromredo	Onlyattackscw	Dolich	Ladybeetle	Predwasp	Lacewing	Syrphid	Pirate	Shannon	stigma
9	2606.1	10	2	Jul. 28	D	4	N	Farm	Farm	145	115	95	3	3	10	0	6	0	2.2997081	1
16	3932.0807	64	20	Jul. 28	D	4	N	Farm	Farm	448	88	235	5	15	43	1	0	8	2.25217	17
18	405	20	6	Jul. 28	D	4	N	Farm	Farm	172	84	65	29	1	42	1	0	5	2.2296572	14
23	71.68	11	5	Jul. 28	D	4	N	Farm	Farm	256	149	107	31	3	48	0	1	3	2.3569036	34
24	1212.0009	28	6	Jul. 28	D	4	N	Farm	Farm	249	127	69	103	2	24	3	1	0	1.9471871	27
1	20	3	1	Jul. 28	D	4	N	Residential	Residential garden	52	15	13	9	0	22	0	0	0	1.7061274	1
5	16.7	2	1	Jul. 28	D	4	N	Residential	Residential garden	451	467	386	37	4	14	5	0	17	2.1567793	1
6	21.92	6	1	Jul. 28	D	4	N	Residential	Residential garden	86	43	33	11	1	21	2	1	3	2.5290677	7
8	5.54	2	1	Jul. 28	D	4	N	Residential	Residential garden	153	154	103	16	0	9	0	1	18	2.6569565	21
12	15	2	2	Jul. 28	D	4	N	Residential	Residential garden	61	13	8	0	2	35	1	0	0	1.3112266	7
13	17.145	1	1	Jul. 28	D	4	N	Residential	Residential garden	149	106	69	3	3	22	5	0	4	2.5442108	20
15	27.8616	1	1	Jul. 28	D	4	N	Residential	Residential garden	47	5	5	4	0	12	0	0	1	1.312328	0
17	15	3	1	Jul. 28	D	4	N	Residential	Residential garden	260	211	164	25	3	8	1	0	11	2.4146695	17
19	42.96	5	3	Jul. 28	D	4	N	Residential	Residential garden	350	58	99	42	11	70	2	3	10	2.4539567	5
20	36.38	28	2	Jul. 28	D	4	N	Residential	Residential garden	139	33	22	33	5	56	1	2	2	2.0173838	0
21	27	9	1	Jul. 28	D	4	N	Residential	Residential garden	80	22	19	1	0	60	0	0	0	1.2734349	2
26	22.5	3	2	Jul. 28	D	4	N	Residential	Residential garden	268	172	93	14	6	29	4	0	19	2.5196876	12
7	96	25	12	Aug. 11	E	5	Y	Community	Community garden	410	346	124	22	12	27	2	0	9	2.1107397	185
10	166.86	14	6	Aug. 11	E	5	Y	Community	Community garden	606	716	169	3	11	36	4	1	0	1.6440898	263
11	36	7	3	Aug. 11	E	5	Y	Community	Community garden	92	63	46	2	1	23	0	9	0	2.1413902	10
14	528.6076	45	18	Aug. 11	E	5	Y	Community	Community garden	257	271	64	9	9	32	7	0	1	1.8795498	174
22	600	100	41	Aug. 11	E	5	Y	Community	Community garden	236	148	101	44	8	21	1	1	0	2.4073499	24
25	96	16	2	Aug. 11	E	5	Y	Community	Community garden	345	353	46	17	1	8	0	1	2	0.8815012	311
27	198	33	8	Aug. 11	E	5	Y	Community	Community garden	153	103	61	5	7	18	1	2	4	2.3559421	32
28	486	76	33	Aug. 11	E	5	Y	Community	Community garden	405	349	100	53	7	25	2	0	1	1.4305657	271
30	182.04	3	2	Aug. 11	E	5	Y	Community	Community garden	153	82	51	33	2	23	0	0	1	2.205321	21
2	4421.6	55	12	Aug. 11	E	5	Y	Farm	Farm	207	177	123	10	4	39	0	1	0	2.0103524	32
3	595	17	4	Aug. 11	E	5	Y	Farm	Farm	356	332	266	9	7	16	1	0	1	2.0371158	43
4	3462	19	10	Aug. 11	E	5	Y	Farm	Farm	241	124	43	35	33	50	2	0	2	1.9938261	70
9	2606.1	10	2	Aug. 11	E	5	Y	Farm	Farm	455	141	280	10	2	16	2	7	9	2.4160938	122
16	3932.0807	64	20	Aug. 11	E	5	Y	Farm	Farm	293	336	191	0	7	32	1	1	2	2.1230117	107
18	405	20	6	Aug. 11	E	5	Y	Farm	Farm	352	371	147	13	7	28	9	0	5	1.9021971	239
23	71.68	11	5	Aug. 11	E	5	Y	Farm	Farm	707	602	241	25	1	38	1	1	1	1.4461289	364
24	1212.0009	28	6	Aug. 11	E	5	Y	Farm	Farm	855	962	151	82	7	23	28	3	1	1.2887719	754
5	16.7	2	1	Aug. 11	E	5	Y	Residential	Residential garden	484	553	439	20	5	28	3	0	17	2.2519992	60
6	21.92	6	1	Aug. 11	E	5	Y	Residential	Residential garden	186	138	51	11	3	30	3	1	5	1.9599625	84
8	5.54	2	1	Aug. 11	E	5	Y	Residential	Residential garden	175	175	81	18	0	8	4	5	13	2.600589	27
12	15	2	2	Aug. 11	E	5	Y	Residential	Residential garden	156	53	62	2	4	33	1	1	0	2.2094708	54
13	17.145	1	1	Aug. 11	E	5	Y	Residential	Residential garden	487	350	103	10	4	9	12	1	0	1.1167805	472
15	27.8616	1	1	Aug. 11	E	5	Y	Residential	Residential garden	93	43	21	3	0	13	0	0	0	1.809477	24
17	15	3	1	Aug. 11	E	5	Y	Residential	Residential garden	575	563	227	20	21	6	19	0	5	1.9609779	297
19	42.96	5	3	Aug. 11	E	5	Y	Residential	Residential garden	309	164	115	22	23	61	2	3	2	2.4381755	39
20	36.38	28	2	Aug. 11	E	5	Y	Residential	Residential garden	281	197	124	25	3	44	5	1	5	2.4510653	52
21	27	9	1	Aug. 11	E	5	Y	Residential	Residential garden	199	125	89	9	0	58	0	1	0	2.224621	14
26	22.5	3	2	Aug. 11	E	5	Y	Residential	Residential garden	474	473	134	24	12	16	9	2	5	1.8603635	292
